Gene	Ensembl	Symbol	BioType	gene_short_name	num_cells_expressed	pval	qval	CorrCoef	CorrP	CorrFDR	Significance
ENSG00000256196:AP003721.1	ENSG00000256196	AP003721.1	lncRNA	AP003721.1	26	1.78178398971392e-26	1.37262699287595e-22	-0.78811954203004	1.7493602351219e-06	0.0404294643939022	Significant
ENSG00000188157:AGRN	ENSG00000188157	AGRN	protein_coding	AGRN	26	9.12057601503948e-05	0.00920461276347499	-0.760586106278209	6.49190475169831e-06	0.0750172053582498	Significant
ENSG00000163364:LINC01116	ENSG00000163364	LINC01116	lincRNA	LINC01116	26	8.40986331199203e-08	2.62649122977632e-05	0.717635129857695	3.67886169345492e-05	0.151367086480286	Significant
ENSG00000158258:CLSTN2	ENSG00000158258	CLSTN2	protein_coding	CLSTN2	26	1.55730456962983e-09	8.33379337664745e-07	0.713502345863052	4.2762878229271e-05	0.151367086480286	Significant
ENSG00000237512:UNC5B-AS1	ENSG00000237512	UNC5B-AS1	antisense	UNC5B-AS1	26	2.2060949501935e-10	1.59328313731006e-07	0.71156563975698	4.58469821886548e-05	0.151367086480286	Significant
ENSG00000221389:AC010754.1	ENSG00000221389	AC010754.1	miRNA	AC010754.1	24	2.78868133577172e-07	7.40795567253107e-05	0.702297253658405	6.35017348767118e-05	0.183448574341961	Significant
ENSG00000242268:LINC02082	ENSG00000242268	LINC02082	lncRNA	LINC02082	26	0.000256293017034742	0.0200107699888173	0.681155518199797	0.000127842367356272	0.246213745997567	Significant
ENSG00000152495:CAMK4	ENSG00000152495	CAMK4	protein_coding	CAMK4	23	1.13814187138845e-08	4.31206504748501e-06	0.661815419801908	0.000231208467667647	0.281234678750894	Significant
ENSG00000148600:CDHR1	ENSG00000148600	CDHR1	protein_coding	CDHR1	26	3.28576678972138e-05	0.00393457804545341	0.654612130403836	0.000285273977666592	0.2906363284944	Significant
ENSG00000287828:AL354743.2	ENSG00000287828	AL354743.2	lncRNA	AL354743.2	5	7.84085615182286e-05	0.00808973332699902	-0.649833953012519	0.000326967441515053	0.2906363284944	Significant
ENSG00000264745:TTC39C-AS1	ENSG00000264745	TTC39C-AS1	lncRNA	TTC39C-AS1	25	1.89280023928989e-05	0.00260468601763898	0.645547646855683	0.000368805591288792	0.293912621388802	Significant
ENSG00000196415:PRTN3	ENSG00000196415	PRTN3	protein_coding	PRTN3	17	0.000176288368839375	0.0152428329456887	-0.635335623394257	0.000487813183328581	0.336148362814935	Significant
ENSG00000105767:CADM4	ENSG00000105767	CADM4	protein_coding	CADM4	26	7.39936073545738e-05	0.0078546183402427	-0.632760385103025	0.000522644805025317	0.336148362814935	Significant
ENSG00000196092:PAX5	ENSG00000196092	PAX5	protein_coding	PAX5	25	1.86586204677476e-06	0.000366060258083062	0.63248176804312	0.000526539984062731	0.336148362814935	Significant
ENSG00000196358:NTNG2	ENSG00000196358	NTNG2	protein_coding	NTNG2	26	5.65224806400061e-11	4.83811500026363e-08	-0.630273217543648	0.000558321123668156	0.336148362814935	Significant
ENSG00000237009:GLIS3-AS1	ENSG00000237009	GLIS3-AS1	antisense	GLIS3-AS1	26	4.12359021049081e-05	0.00478895946505795	0.627897549529349	0.000594358201440822	0.343405309837471	Significant
ENSG00000197959:DNM3	ENSG00000197959	DNM3	protein_coding	DNM3	26	6.84351270629832e-05	0.00741505177476208	0.606390872622387	0.00102396518867707	0.377267929984172	Significant
ENSG00000183087:GAS6	ENSG00000183087	GAS6	protein_coding	GAS6	26	4.85206720898416e-11	4.31292789487819e-08	0.603132095433157	0.00110822398116731	0.377267929984172	Significant
ENSG00000081320:STK17B	ENSG00000081320	STK17B	protein_coding	STK17B	26	0.000450916858797837	0.030862613201183	0.603092034675558	0.00110929597387621	0.377267929984172	Significant
ENSG00000161958:FGF11	ENSG00000161958	FGF11	protein_coding	FGF11	26	0.000169939439580673	0.0148206429741469	-0.602413959281563	0.00112757712605357	0.37767297043803	Significant
ENSG00000102924:CBLN1	ENSG00000102924	CBLN1	protein_coding	CBLN1	26	2.76522155859382e-09	1.25307912628749e-06	-0.598344421816491	0.00124285737975215	0.395673948253762	Significant
ENSG00000221359:AL355512.1	ENSG00000221359	AL355512.1	miRNA	AL355512.1	26	2.65404633793011e-05	0.00340764805088349	0.598329549843096	0.00124329664192279	0.395673948253762	Significant
ENSG00000116690:PRG4	ENSG00000116690	PRG4	protein_coding	PRG4	26	2.90667901693654e-22	1.34352517520841e-18	0.597040362792835	0.00128188719789583	0.395673948253762	Significant
ENSG00000172478:MAB21L4	ENSG00000172478	MAB21L4	protein_coding	MAB21L4	26	1.18341601307138e-20	4.55832124634877e-17	-0.593263322216449	0.00140095616159238	0.404718723132019	Significant
ENSG00000187889:FYB2	ENSG00000187889	FYB2	protein_coding	FYB2	26	9.27340002201347e-05	0.00931815425690231	0.585212790436105	0.00168691211783685	0.45725076513333	Significant
ENSG00000189171:S100A13	ENSG00000189171	S100A13	protein_coding	S100A13	26	0.000137625762961211	0.0124732117952805	0.584834283348717	0.0017015086236626	0.45725076513333	Significant
ENSG00000235750:KIAA0040	ENSG00000235750	KIAA0040	protein_coding	KIAA0040	26	0.000312530332340165	0.0232996403571405	0.583112865816272	0.0017692701827534	0.464654581745612	Significant
ENSG00000228812:LAMA5-AS1	ENSG00000228812	LAMA5-AS1	lncRNA	LAMA5-AS1	26	2.72670551517036e-09	1.25307912628749e-06	0.578168205681921	0.00197695722930724	0.486435822075307	Significant
