Gene	Ensembl	Symbol	BioType	gene_short_name	num_cells_expressed	pval	qval	CorrCoef	CorrP	CorrFDR	Significance
ENSG00000069424:KCNAB2	ENSG00000069424	KCNAB2	protein_coding	KCNAB2	26	7.82142978347406e-05	0.0108519920692091	0.650274590277181	0.000322911475429453	0.99859113760968	Significant
ENSG00000150361:KLHL1	ENSG00000150361	KLHL1	protein_coding	KLHL1	26	3.98751557127825e-06	0.000970057603871702	-0.622005952641404	0.000692584488894196	0.99859113760968	Significant
ENSG00000179588:ZFPM1	ENSG00000179588	ZFPM1	protein_coding	ZFPM1	26	1.77376569187752e-05	0.00320261710195167	0.57825796698573	0.00197300849021824	0.99859113760968	Significant
ENSG00000286974:AL662884.5	ENSG00000286974	AL662884.5	lncRNA	AL662884.5	21	5.79425569045752e-08	2.69562725176413e-05	0.563998019076077	0.0026918198343289	0.99859113760968	Significant
ENSG00000163453:IGFBP7	ENSG00000163453	IGFBP7	protein_coding	IGFBP7	26	5.53311283968245e-05	0.00804250131055982	-0.559454737953594	0.00296336647536136	0.99859113760968	Significant
ENSG00000163637:PRICKLE2	ENSG00000163637	PRICKLE2	protein_coding	PRICKLE2	26	5.33809253724317e-05	0.00780814282457132	0.556682630189198	0.00314026494746225	0.99859113760968	Significant
ENSG00000188803:SHISA6	ENSG00000188803	SHISA6	protein_coding	SHISA6	26	8.30006297167068e-08	3.68889914112079e-05	0.539785421980255	0.00442502485748972	0.99859113760968	Significant
ENSG00000242516:LINC00960	ENSG00000242516	LINC00960	lincRNA	LINC00960	25	1.09787675852778e-09	7.46265581362812e-07	-0.534974234442414	0.00486348569345773	0.99859113760968	Significant
ENSG00000169851:PCDH7	ENSG00000169851	PCDH7	protein_coding	PCDH7	26	9.27261348462527e-08	3.89635218623954e-05	0.531871614998154	0.00516529155736445	0.99859113760968	Significant
ENSG00000187193:MT1X	ENSG00000187193	MT1X	protein_coding	MT1X	26	3.25823508366813e-06	0.000818489902376676	0.496701041751193	0.00984588154600701	0.99859113760968	Significant
ENSG00000232855:AF165147.1	ENSG00000232855	AF165147.1	lncRNA	AF165147.1	26	0.000138936771570587	0.0173565823122585	0.494508732465168	0.0102277414800943	0.99859113760968	Significant
ENSG00000250682:LINC00491	ENSG00000250682	LINC00491	lincRNA	LINC00491	18	0.00016655354119861	0.0203662375166194	-0.49177873133727	0.0107204136118808	0.99859113760968	Significant
ENSG00000095587:TLL2	ENSG00000095587	TLL2	protein_coding	TLL2	26	5.62276118442289e-06	0.00129947633733197	-0.491682731780107	0.0107380910578005	0.99859113760968	Significant
ENSG00000107104:KANK1	ENSG00000107104	KANK1	protein_coding	KANK1	26	5.30526475487413e-06	0.00123848458333228	0.490210300590153	0.0110122765336619	0.99859113760968	Significant
ENSG00000166598:HSP90B1	ENSG00000166598	HSP90B1	protein_coding	HSP90B1	26	6.84282324679977e-06	0.00153538337919213	-0.488179089359608	0.0114000385611013	0.99859113760968	Significant
ENSG00000169220:RGS14	ENSG00000169220	RGS14	protein_coding	RGS14	26	1.01638527781267e-09	7.41636443646593e-07	0.485829644105154	0.0118626202993156	0.99859113760968	Significant
ENSG00000110436:SLC1A2	ENSG00000110436	SLC1A2	protein_coding	SLC1A2	26	3.76423199283023e-05	0.00605205458704851	-0.484080652976406	0.0122169937255945	0.99859113760968	Significant
ENSG00000095713:CRTAC1	ENSG00000095713	CRTAC1	protein_coding	CRTAC1	26	1.07511187467949e-05	0.00208797567527039	-0.482189868413608	0.0126099180426014	0.99859113760968	Significant
ENSG00000130300:PLVAP	ENSG00000130300	PLVAP	protein_coding	PLVAP	19	0.000204817703837252	0.0241507242519527	-0.476486663471671	0.013858969166496	0.99859113760968	Significant
ENSG00000116329:OPRD1	ENSG00000116329	OPRD1	protein_coding	OPRD1	26	3.77091367978445e-05	0.00605205458704851	-0.476321923418493	0.0138965129032201	0.99859113760968	Significant
ENSG00000189223:PAX8-AS1	ENSG00000189223	PAX8-AS1	processed_transcript	PAX8-AS1	26	5.29155334624781e-11	5.09554539104722e-08	-0.474235855399696	0.0143792288992673	0.99859113760968	Significant
ENSG00000168952:STXBP6	ENSG00000168952	STXBP6	protein_coding	STXBP6	26	0.000154039008772966	0.019037409260706	0.474005594922059	0.0144333482779917	0.99859113760968	Significant
ENSG00000198417:MT1F	ENSG00000198417	MT1F	protein_coding	MT1F	26	0.000134925693226241	0.0169471070443025	0.4721651365054	0.0148719873472766	0.99859113760968	Significant
ENSG00000182255:KCNA4	ENSG00000182255	KCNA4	protein_coding	KCNA4	10	0.000446856243741075	0.0444989628318929	0.471231555844933	0.0150986529059018	0.99859113760968	Significant
ENSG00000250337:PURPL	ENSG00000250337	PURPL	lncRNA	PURPL	24	0.000140388490731416	0.0174436473617944	0.469058220544949	0.0156373579493377	0.99859113760968	Significant
ENSG00000254532:AL358944.1	ENSG00000254532	AL358944.1	lncRNA	AL358944.1	22	2.10527021160328e-05	0.00371411449315751	0.466215353580249	0.0163657940306652	0.99859113760968	Significant
