LibraryID	STARsolo_cells	Demuxlet_singlets
MS17001	5381	5381
MS17002	5100	5100
MS17003	7720	7720
MS17004	6540	6540
MS17005	4099	4099
MS17006	7080	7080
MS18001	8216	8216
MS18002	8633	8633
MS18003	5530	5530
MS18004	5117	5117
MS18005	6742	6742
MS18006	5652	5652
MS19001	5596	5596
MS19002	6678	6678
MS19003	9307	9307
MS19004	6618	6618
MS19005	5888	5888
MS19006	5901	4823
MS19007	7879	6204
MS19008	9136	9136
MS19009	9772	9772
MS19010	8598	8598
MS19011	9212	9212
MS19012	11042	11042
MS19013	13374	13374
MS19014	9125	9125
MS19015	12149	12149
MS19016	10301	8394
MS19017	10158	7868
MS19018	3904	3904
MS19019	6503	6503
MS19020	5249	4787
MS19021	5171	4774
MS19022	10578	10578
MS19023	11473	11473
MS19026	8192	8192
MS19032	6853	6853
MS19034	5189	4238
MS19035	5550	4350
MS19038	6255	6255
MS19040	4526	4526
MS19042	8381	7698
MS19043	8651	8099
MS20001	8025	8025
MS20003	7186	7186
MS20005	7775	7775
MS20017	9660	9660
MS20033	7981	7981
MS20086	8140	7334
MS20087	7437	6661
MS20104	9252	9252
MS21001	9101	9101
MS21003	10218	10218
MS21009	6288	6288
