"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","25/47","120/18866",1.12462099415987e-43,9.86292611878203e-41,8.77204375444696e-41,"RPL4/PABPC1/RPL23A/RPS3/EIF3E/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",25
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","23/47","105/18866",1.53473978864115e-40,6.72983397319146e-38,5.9854851757005e-38,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0006413","GO:0006413","translational initiation","26/47","192/18866",2.86137473914097e-40,8.36475215408877e-38,7.43957432176652e-38,"RPL4/PABPC1/RPL23A/RPS3/EIF3L/EIF3E/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",26
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","23/47","109/18866",4.0010086512092e-40,8.77221146777616e-38,7.80196686985793e-38,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0045047","GO:0045047","protein targeting to ER","23/47","120/18866",4.6061341224599e-39,8.07915925079466e-37,7.18556923103744e-37,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","23/47","124/18866",1.0531590467285e-38,1.5393674733015e-36,1.36910676074706e-36,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0019080","GO:0019080","viral gene expression","25/47","195/18866",5.69791973337425e-38,7.1386794373846e-36,6.3491105600456e-36,"RPL4/RPL23A/RPS3/EIF3L/RPL6/RPL13/RPS14/RPL12/POLR2L/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",25
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","25/47","210/18866",4.02641007259439e-37,4.4139520420816e-35,3.92574982077953e-35,"RPL4/PABPC1/RPL23A/RPS3/EIF3E/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",25
"GO:0019083","GO:0019083","viral transcription","24/47","178/18866",6.66361920308776e-37,6.49332671234218e-35,5.77513664267606e-35,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/POLR2L/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",24
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","23/47","152/18866",1.67873356270746e-36,1.47224933449445e-34,1.30941217891182e-34,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0006612","GO:0006612","protein targeting to membrane","23/47","210/18866",4.37603090184903e-33,3.48889009174691e-31,3.10300373040204e-31,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0006402","GO:0006402","mRNA catabolic process","25/47","376/18866",1.37666028525489e-30,1.00610922514045e-28,8.94829185415675e-29,"RPL4/PABPC1/RPL23A/RPS3/EIF3E/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",25
"GO:0006401","GO:0006401","RNA catabolic process","25/47","415/18866",1.67853065054056e-29,1.13236260040313e-27,1.00711839032434e-27,"RPL4/PABPC1/RPL23A/RPS3/EIF3E/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",25
"GO:0090150","GO:0090150","establishment of protein localization to membrane","23/47","342/18866",4.53065873458256e-28,2.83813407873493e-26,2.52422415212457e-26,"RPL4/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",23
"GO:0006605","GO:0006605","protein targeting","24/47","444/18866",4.40282891556049e-27,2.57418730596437e-25,2.28947103609146e-25,"RPL4/SLC25A6/RPL23A/RPS3/RPL6/RPL13/RPS14/RPL12/RPS8/RPS6/RPL34/RPS28/RPS25/RPL27A/RPLP2/RPL31/RPL41/RPL21/RPL13A/RPL7/RPS17/RPS26/RPS10/RPS20",24
"GO:0002181","GO:0002181","cytoplasmic translation","9/47","103/18866",3.46155738418005e-12,1.89736614120369e-10,1.68750922478778e-10,"EIF3L/EIF3E/RPL6/EEF2/RPS28/RPL31/RPL41/RPL13A/RPS26",9
