"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006986","GO:0006986","response to unfolded protein","17/48","183/18866",9.13388208824794e-23,1.47512195725204e-19,9.69152962626729e-20,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPB1/HSP90AA1/SERPINH1/DDIT3/BAG3/PPP1R15A/HSPD1/DNAJA1/HERPUD1/HSP90AB1/DNAJB9/HSPA8",17
"GO:0035966","GO:0035966","response to topologically incorrect protein","17/48","205/18866",6.61565762217649e-22,5.34214352990752e-19,3.50978046481785e-19,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPB1/HSP90AA1/SERPINH1/DDIT3/BAG3/PPP1R15A/HSPD1/DNAJA1/HERPUD1/HSP90AB1/DNAJB9/HSPA8",17
"GO:0009408","GO:0009408","response to heat","16/48","166/18866",1.0914806296862e-21,5.87580405647737e-19,3.86039464815329e-19,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSP90AA1/BAG3/HSPD1/FKBP4/DNAJA1/DNAJA4/CHORDC1/IER5/HSP90AB1/CRYAB/HSPA8",16
"GO:0009266","GO:0009266","response to temperature stimulus","17/48","233/18866",6.07024223306743e-21,2.45086030160097e-18,1.61021162392946e-18,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSP90AA1/BAG3/ADM/HSPD1/FKBP4/DNAJA1/DNAJA4/CHORDC1/IER5/HSP90AB1/CRYAB/HSPA8",17
"GO:0034605","GO:0034605","cellular response to heat","14/48","125/18866",5.92987850213362e-20,1.91535075618916e-17,1.25838263792646e-17,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSP90AA1/BAG3/HSPD1/FKBP4/CHORDC1/IER5/HSP90AB1/CRYAB/HSPA8",14
"GO:0006457","GO:0006457","protein folding","16/48","230/18866",2.24631603568671e-19,6.04633399605673e-17,3.97243256837229e-17,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPB1/HSP90AA1/BAG3/HSPD1/FKBP4/DNAJA1/DNAJA4/CHORDC1/HSP90AB1/CRYAB/HSPA8",16
"GO:1900034","GO:1900034","regulation of cellular response to heat","12/48","79/18866",7.49359995303119e-19,1.7288805605922e-16,1.13587199288052e-16,"HSPA1A/HSPA1B/DNAJB1/HSPH1/HSP90AA1/BAG3/FKBP4/CHORDC1/IER5/HSP90AB1/CRYAB/HSPA8",12
"GO:0061077","GO:0061077","chaperone-mediated protein folding","9/48","60/18866",2.70710134181405e-14,5.46496083378711e-12,3.59047125335337e-12,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPB1/FKBP4/CHORDC1/HSPA8",9
"GO:0042026","GO:0042026","protein refolding","7/48","23/18866",1.03852321289069e-13,1.8635722097983e-11,1.22436420888166e-11,"HSPA1A/HSPA6/HSPA1B/HSP90AA1/HSPD1/DNAJA4/HSPA8",7
"GO:0034620","GO:0034620","cellular response to unfolded protein","10/48","146/18866",2.87065623647374e-12,4.63610982190509e-10,3.04591735406898e-10,"HSPA1A/HSPA6/HSPA1B/DDIT3/BAG3/PPP1R15A/HSPD1/HERPUD1/DNAJB9/HSPA8",10
