ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Celltype
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	11/171	147/18866	1.00E-07	0.000123327	0.000105057	ADRB1/GCG/ADGRG2/ADCY7/ADCY2/GPER1/PTGER3/ADORA2A/OPRM1/ADGRG4/DRD1	11	Alpha
GO:0046942	carboxylic acid transport	16/171	350/18866	1.28E-07	0.000123327	0.000105057	RGS4/SLC7A14/GLS/SLC38A4/ABCG2/ADORA2A/AVPR1B/FABP5/SLC17A1/SLC38A8/SLC6A19/OCA2/SLC17A2/SLC25A48/CCK/SLC17A3	16	Alpha
GO:0015849	organic acid transport	16/171	353/18866	1.44E-07	0.000123327	0.000105057	RGS4/SLC7A14/GLS/SLC38A4/ABCG2/ADORA2A/AVPR1B/FABP5/SLC17A1/SLC38A8/SLC6A19/OCA2/SLC17A2/SLC25A48/CCK/SLC17A3	16	Alpha
GO:0019933	cAMP-mediated signaling	12/171	199/18866	2.77E-07	0.000177784	0.000151447	ADRB1/GCG/ADGRG2/ADCY7/ADCY2/GPER1/PTGER3/ADORA2A/CRH/OPRM1/ADGRG4/DRD1	12	Alpha
GO:0032102	negative regulation of response to external stimulus	17/171	433/18866	4.42E-07	0.000227027	0.000193395	DPP4/ADAMTS18/F2/ADCY7/APOH/GPER1/GRIN3A/ADORA2A/FAP/EPHA4/CD109/CCK/MMP26/DRD1/NLRP3/FGB/IL4	17	Alpha
GO:1903522	regulation of blood circulation	14/171	303/18866	7.14E-07	0.000305572	0.000260304	RGS4/ADRB1/FXYD3/BVES/ANK2/KCNJ3/KCNIP1/AVPR1B/KCNH6/TAC1/CACNG1/CACNG7/FGB/KCNJ4	14	Alpha
GO:0019935	cyclic-nucleotide-mediated signaling	12/171	224/18866	9.79E-07	0.000359323	0.000306092	ADRB1/GCG/ADGRG2/ADCY7/ADCY2/GPER1/PTGER3/ADORA2A/CRH/OPRM1/ADGRG4/DRD1	12	Alpha
GO:0006865	amino acid transport	10/171	156/18866	1.61E-06	0.000518375	0.000441581	RGS4/SLC7A14/GLS/SLC38A4/ADORA2A/SLC38A8/SLC6A19/OCA2/SLC25A48/CCK	10	Alpha
GO:0060047	heart contraction	13/171	287/18866	2.25E-06	0.000601001	0.000511967	RGS4/ADRB1/FXYD3/BVES/ANK2/KCNJ3/KCNIP1/SGCZ/KCNH6/TAC1/CACNG1/CACNG7/KCNJ4	13	Alpha
GO:0034765	regulation of ion transmembrane transport	17/171	489/18866	2.34E-06	0.000601001	0.000511967	RGS4/FXYD5/FXYD3/KCNAB1/F2/ANK2/KCNJ3/GPER1/KCNIP1/CRH/KCNH6/CACNA1I/OPRM1/CACNG1/DRD1/CACNG7/KCNJ4	17	Alpha
GO:0042391	regulation of membrane potential	16/171	443/18866	2.89E-06	0.000620079	0.000528219	RGS4/ADRB1/POPDC3/BVES/ANK2/KCNJ3/GPER1/GRIN3A/ADORA2A/KCNH6/CACNA1I/OPRM1/TAC1/CCK/DRD1/RIMS4	16	Alpha
GO:0035637	multicellular organismal signaling	11/171	206/18866	2.90E-06	0.000620079	0.000528219	FXYD3/ANK2/KCNJ3/GPER1/KCNIP1/KCNH6/CACNA1I/CACNG1/DRD1/CACNG7/KCNJ4	11	Alpha
GO:0003015	heart process	13/171	297/18866	3.28E-06	0.0006475	0.000551577	RGS4/ADRB1/FXYD3/BVES/ANK2/KCNJ3/KCNIP1/SGCZ/KCNH6/TAC1/CACNG1/CACNG7/KCNJ4	13	Alpha
GO:0008016	regulation of heart contraction	12/171	256/18866	3.93E-06	0.000721743	0.000614822	RGS4/ADRB1/FXYD3/BVES/ANK2/KCNJ3/KCNIP1/KCNH6/TAC1/CACNG1/CACNG7/KCNJ4	12	Alpha
GO:0072376	protein activation cascade	5/171	28/18866	4.79E-06	0.000768959	0.000655043	F10/F2/APOH/F13A1/FGB	5	Alpha
GO:0072378	blood coagulation, fibrin clot formation	5/171	28/18866	4.79E-06	0.000768959	0.000655043	F10/F2/APOH/F13A1/FGB	5	Alpha
GO:0007631	feeding behavior	8/171	105/18866	5.11E-06	0.000771903	0.000657551	GCG/GLS/BRS3/ADORA2A/PYY/OPRM1/CCK/DRD1	8	Alpha
GO:0033555	multicellular organismal response to stress	7/171	76/18866	5.74E-06	0.000819561	0.000698149	DPP4/ADRB1/CRH/PRKCG/TAC1/CCK/DRD1	7	Alpha
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	11/171	233/18866	9.39E-06	0.001270056	0.001081906	ADRB1/GCG/ADGRG2/ADCY7/ADCY2/GPER1/PTGER3/ADORA2A/OPRM1/ADGRG4/DRD1	11	Alpha
GO:0050819	negative regulation of coagulation	6/171	55/18866	1.02E-05	0.001309101	0.001115167	ADAMTS18/F2/APOH/FAP/HS3ST5/FGB	6	Alpha
GO:0099177	regulation of trans-synaptic signaling	15/171	455/18866	1.77E-05	0.002066744	0.00176057	RGS4/VGF/GPER1/GRIN3A/ADORA2A/LRRTM2/CRH/PRKCG/DCC/FABP5/EPHA4/TAC1/DRD1/CACNG7/RIMS4	15	Alpha
GO:0019932	second-messenger-mediated signaling	15/171	456/18866	1.81E-05	0.002066744	0.00176057	ADRB1/GCG/ADGRG2/ANK2/ADCY7/ADCY2/PLCE1/GPER1/ACKR2/PTGER3/ADORA2A/CRH/OPRM1/ADGRG4/DRD1	15	Alpha
GO:1904062	regulation of cation transmembrane transport	13/171	349/18866	1.85E-05	0.002066744	0.00176057	RGS4/FXYD5/FXYD3/KCNAB1/F2/ANK2/GPER1/KCNIP1/CRH/OPRM1/CACNG1/DRD1/CACNG7	13	Alpha
GO:1903035	negative regulation of response to wounding	7/171	93/18866	2.19E-05	0.002341184	0.001994354	ADAMTS18/F2/APOH/FAP/EPHA4/CD109/FGB	7	Alpha
GO:0050806	positive regulation of synaptic transmission	9/171	172/18866	2.78E-05	0.002852634	0.002430037	RGS4/GPER1/ADORA2A/LRRTM2/CRH/EPHA4/TAC1/DRD1/CACNG7	9	Alpha
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	11/171	263/18866	2.90E-05	0.002863184	0.002439024	ADRB1/GCG/ADGRG2/ADCY7/ADCY2/GPER1/PTGER3/ADORA2A/OPRM1/ADGRG4/DRD1	11	Alpha
