M	A	Rank	Composite
MIR1302-2HG	0	2.98900506763497e-05	27241.6698113208	MIR1302-2HG: 27241.6698113208
FAM138A	0	0	27241.6698113208	FAM138A: 27241.6698113208
OR4F5	0	2.61997098590627e-05	27241.6698113208	OR4F5: 27241.6698113208
AL627309.1	7.17711338722307e-05	0.00621346794099306	21637.3867924528	AL627309.1: 21637.3867924528
AL627309.3	1.43307653176046e-06	0.000310833313439914	27067.358490566	AL627309.3: 27067.358490566
AL627309.2	0	0	27241.6698113208	AL627309.2: 27241.6698113208
AL627309.5	0.000162728497078713	0.0162416714715487	17436.5943396226	AL627309.5: 17436.5943396226
AL627309.4	0	5.1819839749341e-05	27241.6698113208	AL627309.4: 27241.6698113208
AP006222.2	7.57124820981807e-05	0.00834871974632802	22124.4528301887	AP006222.2: 22124.4528301887
AL732372.1	0	8.41927289758523e-05	27241.6698113208	AL732372.1: 27241.6698113208
OR4F29	0	0	27241.6698113208	OR4F29: 27241.6698113208
AC114498.1	0	7.63737665677872e-05	27241.6698113208	AC114498.1: 27241.6698113208
OR4F16	0	0	27241.6698113208	OR4F16: 27241.6698113208
AL669831.2	2.08577470353605e-06	0.00028883717058798	26869.6698113208	AL669831.2: 26869.6698113208
LINC01409	0.00197171790284299	0.154224949557262	9288.60377358491	LINC01409: 9288.60377358491
FAM87B	2.20091548267711e-05	0.00300895033528725	25495.3301886792	FAM87B: 25495.3301886792
LINC01128	0.00709920943283468	0.478282561166127	4150.77358490566	LINC01128: 4150.77358490566
LINC00115	0.000470301978900922	0.0310452239312452	15107.3490566038	LINC00115: 15107.3490566038
FAM41C	0.000393961998702248	0.0286223723357288	15294.9433962264	FAM41C: 15294.9433962264
AL645608.6	0	0.000196218442367637	27241.6698113208	AL645608.6: 27241.6698113208
AL645608.2	3.83849320938495e-05	0.00689011435291716	23515.4622641509	AL645608.2: 23515.4622641509
AL645608.4	1.6210047184276e-06	0.000544108414384742	26707.2924528302	AL645608.4: 26707.2924528302
LINC02593	0.000524240783704717	0.0448615985094501	13678.8490566038	LINC02593: 13678.8490566038
SAMD11	0.0290461316230866	1.26282160136421	694.566037735849	SAMD11: 694.566037735849
NOC2L	0.00844884074648865	0.649238785901785	3103.30188679245	NOC2L: 3103.30188679245
KLHL17	0.000677421067387607	0.0484790378508696	12411.9811320755	KLHL17: 12411.9811320755
PLEKHN1	0.000646635622258434	0.055348982361486	13232.5849056604	PLEKHN1: 13232.5849056604
PERM1	4.25021462966646e-05	0.00597788115567949	22675.5377358491	PERM1: 22675.5377358491
AL645608.7	0.000152684785976862	0.0168984330001365	17753.8679245283	AL645608.7: 17753.8679245283
HES4	0.0109873955239061	0.507537021869291	2765.84905660377	HES4: 2765.84905660377
ISG15	0.0108042307549095	0.502479335370542	3232.90566037736	ISG15: 3232.90566037736
AL645608.1	0	7.29712210927855e-05	27241.6698113208	AL645608.1: 27241.6698113208
AGRN	0.00243590003828123	0.200683716458938	8794.62264150943	AGRN: 8794.62264150943
AL645608.5	0	5.51945363443595e-05	27241.6698113208	AL645608.5: 27241.6698113208
AL645608.8	5.18838248225111e-06	0.00166901303481526	26278.7547169811	AL645608.8: 26278.7547169811
RNF223	0.00020875155067364	0.0213969894554051	18188.7075471698	RNF223: 18188.7075471698
C1orf159	0.000836512613133522	0.0470506134747506	12425.9150943396	C1orf159: 12425.9150943396
AL390719.3	1.64992022728618e-06	0.000717891316725811	26693.7169811321	AL390719.3: 26693.7169811321
LINC01342	1.98951768529931e-06	0.000542388708916897	26536.1226415094	LINC01342: 26536.1226415094
AL390719.2	0.00132604268052158	0.0997665670162474	10513.6981132075	AL390719.2: 10513.6981132075
TTLL10-AS1	6.16384439509097e-06	0.000660517002663	25585.3113207547	TTLL10-AS1: 25585.3113207547
TTLL10	7.98296832093705e-05	0.0108301588399249	21189.8679245283	TTLL10: 21189.8679245283
TNFRSF18	0.000992047181061811	0.0453125442134498	12243.4622641509	TNFRSF18: 12243.4622641509
TNFRSF4	0.00114877848982839	0.0438283455280947	11847.141509434	TNFRSF4: 11847.141509434
SDF4	0.0149415646157197	1.2729632656416	1742.90566037736	SDF4: 1742.90566037736
