Disease_State	Top2markers:expression	Cell_Type	q0	q5	q10	q15	q20	q25	q30	q35	q40	q45	q50	q55	q60	q65	q70	q75	q80	q85	q90	q95	q100
ND	GCG:10.8|INS:3.9	Alpha	0.238908952	0.547886948	0.708048428	1.097674108	1.410735784	1.529815876	1.614727225	1.719579214	1.846414973	1.929004264	1.985361705	2.068886347	2.307117	2.431011149	2.592950404	2.775801035	2.886441945	2.937129181	3.49201854	3.897076472	5.157788321
ND	GCG:10.2|INS:2.6	Alpha	0.242735167	0.842698704	1.266271664	1.68435738	1.938832302	2.194111844	2.413680969	2.569884332	2.708687286	2.81411156	2.960144822	3.082660881	3.185063377	3.345647382	3.500313378	3.70376705	3.945801891	4.230707234	4.847727502	6.365234245	15.36207237
ND	GCG:9.7|INS:1	Alpha	0.034038986	2.406656769	2.740428761	2.936907454	3.105819048	3.259124177	3.375060252	3.527119799	3.67979122	3.851381769	3.993003767	4.113958345	4.244757141	4.398297182	4.644768571	4.957201243	5.242375973	5.678238314	6.305572071	7.443309658	16.1716899
ND	GCG:9|INS:1.8	Alpha	3.562417435	4.492235084	5.273728502	6.041967837	6.656027038	6.94484116	7.498411559	7.951124769	8.079298531	8.524033912	9.121227718	9.39189642	10.00602803	10.44778258	10.84315515	11.50552241	12.24665233	13.20684048	14.20225858	17.38436739	20.55597126
ND	GCG:10.5|INS:3.1	Alpha	0.0226612	2.23598605	2.44859289	2.61931172	2.74540892	2.85384901	2.93846179	3.0347509	3.14760147	3.24482507	3.3572429	3.46030474	3.58252238	3.69655908	3.8349997	3.96947411	4.10493734	4.34454123	4.6756409	5.23031789	16.38545886
ND	GCG:9.9|INS:2.5	Alpha	0.06768316	0.83659883	1.17076763	1.50344939	1.74773744	1.91173839	2.16106643	2.35554045	2.53961499	2.65461878	2.7776201	2.89165056	2.95858257	3.07870132	3.21039342	3.31380831	3.56851433	3.83356233	4.1171513	4.39361833	7.54449446
ND	GCG:9.9|INS:6.3	Alpha	0.90792867	2.07483352	2.78392085	3.03181636	3.2873986	3.41038058	3.63713596	3.72424258	3.95572211	4.07001422	4.21618168	4.39963438	4.70597003	5.00957151	5.41603968	5.57121392	5.96837458	6.66750011	7.69492682	9.05015344	11.3953157
ND	GCG:9.5|INS:1.5	Alpha	0.14368627	2.64934128	3.09086082	3.30424397	3.60779329	3.71210866	3.79227267	3.90746771	4.17935552	4.32310658	4.4042812	4.51253029	4.64544698	4.70768202	4.89455679	5.16577178	5.31321316	5.49098643	6.00762345	7.04502036	8.86973856
ND	GCG:9.9|INS:1.5	Alpha	0.07613332	2.12798634	2.51616042	2.72909504	2.88261994	3.01922215	3.13755981	3.22001798	3.33200385	3.46534259	3.60271316	3.74736784	3.88660323	4.00953128	4.21979242	4.39366043	4.57524096	4.83776048	5.09786204	5.62404211	14.49339899
ND	GCG:10.6|INS:2.9	Alpha	0.16604107	1.61650052	2.20850415	2.55425124	2.68946199	2.80025643	2.93245999	3.00431809	3.08905246	3.15219578	3.23688778	3.33624818	3.43227545	3.54889275	3.68214048	3.8478608	4.05826047	4.21466585	4.44328274	4.94594967	6.42915779
ND	GCG:10.7|KRT19:0.2	Alpha	0.03478941	2.06781188	2.9664039	3.2493274	3.40747209	3.55693671	3.72568854	3.92047555	4.13971429	4.32969018	4.50807628	4.75160793	4.92259366	5.14976742	5.54989134	5.81520516	6.16296922	6.73440477	7.68298054	10.11706058	18.14556142
ND	GCG:9.2|SST:1.4	Alpha	0.11198012	2.590750186	3.393972557	3.854095597	4.103399249	4.335647284	4.56551968	4.750019252	5.065884054	5.268966685	5.445480919	5.666400396	5.91486181	6.074540824	6.349488931	6.671275999	7.164355141	7.606659287	8.392516014	9.581908284	21.25871081
