p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.618561673	0.989	0.549	0	0	CRYBA2
0	2.287093672	0.995	0.399	0	0	TM4SF4
0	2.286073109	0.998	0.666	0	0	GCG
0	2.272393801	0.998	0.768	0	0	ALDH1A1
0	1.992228844	1	0.799	0	0	TTR
0	1.708764436	0.99	0.635	0	0	PCSK2
0	1.643956618	0.762	0.139	0	0	LOXL4
0	1.544961889	0.99	0.618	0	0	TMEM176B
0	1.526918428	1	0.814	0	0	CHGB
0	1.491286782	0.967	0.606	0	0	SLC7A2
0	1.477009068	0.964	0.599	0	0	GPX3
0	1.445630089	0.565	0.123	0	0	PLCE1
0	1.438103873	0.647	0.118	0	0	CRH
0	1.398924693	0.947	0.284	0	0	GC
0	1.378260604	0.886	0.221	0	0	FAP
0	1.363437472	0.965	0.538	0	0	TMEM176A
0	1.34919831	0.794	0.351	0	0	IGFBP2
0	1.295319496	0.994	0.775	0	0	SCG2
0	1.293775103	1	0.886	0	0	CLU
0	1.277690028	0.976	0.799	0	0	BEX3
0	1.26918198	0.901	0.499	0	0	GLS
0	1.260180834	0.99	0.712	0	0	VGF
0	1.145707856	0.864	0.378	0	0	RGS4
0	1.142610666	0.922	0.627	0	0	PEMT
0	1.14142679	0.796	0.262	0	0	KCTD12
0	1.092253354	0.937	0.657	0	0	QDPR
0	1.086273261	0.941	0.567	0	0	PPP1R1A
0	1.078789612	0.93	0.609	0	0	MAFB
0	1.071716489	0.737	0.346	0	0	HMGB3
0	1.070378181	0.967	0.805	0	0	H2AFJ
0	1.060344411	0.803	0.309	0	0	FXYD3
0	1.058000125	0.871	0.276	0	0	F10
0	1.05673988	0.961	0.83	0	0	NAA20
0	1.045231454	0.829	0.208	0	0	IRX2
0	1.038556959	0.998	0.766	0	0	CHGA
0	1.022493599	0.706	0.193	0	0	SMIM24
0	0.994511356	0.971	0.657	0	0	SLC30A8
0	0.99036674	0.993	0.936	0	0	COX8A
0	0.976211999	0.895	0.553	0	0	SLC22A17
0	0.975432576	0.859	0.36	0	0	FABP5
0	0.96827963	0.992	0.915	0	0	CYSTM1
0	0.96497174	0.75	0.412	0	0	FXYD5
0	0.960236244	0.886	0.572	0	0	ARFGEF3
0	0.958973015	0.998	0.979	0	0	RNASEK
0	0.938460994	0.891	0.597	0	0	KIAA1324
0	0.9364277	0.675	0.363	0	0	PDK4
0	0.934486913	0.679	0.207	0	0	SMOC1
0	0.917268715	0.771	0.451	0	0	KCNQ1OT1
0	0.904737143	0.742	0.167	0	0	C5orf38
0	0.899858577	0.941	0.719	0	0	C12orf75
0	0.894477348	0.684	0.129	0	0	ARX
0	0.88955675	0.652	0.181	0	0	PAPPA2
0	0.889087	0.648	0.194	0	0	MUC13
0	0.8854226	0.998	0.921	0	0	SPINT2
0	0.877084154	0.948	0.81	0	0	MPC2
0	0.853849818	0.804	0.465	0	0	SLC7A8
0	0.852089224	0.999	0.98	0	0	ATP5F1E
0	0.845988938	0.765	0.384	0	0	GCH1
0	0.839827776	0.998	0.928	0	0	CD99
0	0.836403352	0.957	0.809	0	0	EMC10
0	0.835131895	0.595	0.113	0	0	TMEM236
0	0.830916078	0.758	0.371	0	0	CNTN1
0	0.827475278	0.842	0.48	0	0	PALLD
0	0.824323199	0.653	0.377	0	0	CALY
0	0.823074476	0.991	0.779	0	0	BEX1
0	0.819862276	0.772	0.353	0	0	SERPINE2
0	0.81949632	0.884	0.709	0	0	C1orf122
0	0.810085214	0.999	0.853	0	0	CPE
0	0.80245916	0.826	0.525	0	0	ENPP2
0	0.798940401	0.729	0.336	0	0	PLIN3
0	0.792714348	0.686	0.28	0	0	FXYD6
0	0.790623979	0.932	0.747	0	0	PAM
0	0.789945879	0.987	0.921	0	0	NDUFB2
0	0.78720931	0.875	0.675	0	0	BSCL2
0	0.783054169	0.971	0.875	0	0	NENF
0	0.774215066	0.999	0.978	0	0	HLA-A
0	0.773115158	0.908	0.72	0	0	UQCC2
0	0.770556592	0.731	0.6	0	0	ASPH
0	0.769643085	0.694	0.285	0	0	PDE3B
0	0.769192701	0.978	0.91	0	0	UQCR11
