p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
FXYD2	0	0.488538793152749	0.865	0.776	0	0	FXYD2
ARRDC4	0	0.460494669941234	0.523	0.335	0	0	ARRDC4
MRLN	0	0.25253088159375	0.247	0.107	0	0	MRLN
CAMK2N1	2.8623915423003e-290	0.257577286545048	0.848	0.773	7.93998789918679e-286	0	CAMK2N1
FXYD5	1.5078767184139e-272	0.390063410366317	0.87	0.724	4.18269922920831e-268	0	FXYD5
SMIM24	2.11297077683941e-258	0.323014290717416	0.728	0.583	5.86116963787485e-254	0	SMIM24
HMGN2	5.474705608371e-245	0.29847614183835	0.942	0.833	1.51862858870603e-240	0	HMGN2
FAP	1.14434292702093e-217	0.331128543429505	0.883	0.741	3.17429284526336e-213	0	FAP
SHISAL2B	1.49699021429275e-217	0.273954610440686	0.338	0.227	4.15250115542666e-213	0	SHISAL2B
BLOC1S1	9.74975203264619e-213	0.27067921934814	0.886	0.755	2.70448371633573e-208	0	BLOC1S1
KIF12	9.26421519387018e-202	0.248148595931539	0.535	0.383	2.56980065262765e-197	0	KIF12
C4orf48	2.56680265331484e-201	0.256189093351037	0.959	0.889	7.12005388003003e-197	0	C4orf48
SLC30A8	6.39081243339185e-191	0.341875241518749	0.962	0.823	1.77274746089857e-186	0	SLC30A8
SPC25	5.18473127570166e-184	0.325525648228072	0.471	0.317	1.43819260856688e-179	0	SPC25
HMGB1	1.57517161821453e-182	0.223986798291402	0.96	0.895	4.36936855176528e-178	0	HMGB1
HNF1A-AS1	2.26735087084637e-181	0.221626469772947	0.427	0.287	6.28940458064074e-177	0	HNF1A-AS1
MAFB	4.71237288625527e-177	0.359617849975081	0.921	0.772	1.30716511491835e-172	0	MAFB
STMN1	1.28811419232403e-176	0.259362457109815	0.769	0.626	3.57309995808764e-172	0	STMN1
FXYD3	2.78272304553862e-175	0.265009955449031	0.852	0.733	7.71899545601958e-171	0	FXYD3
PPP1R1A	2.32134853856061e-173	0.335693827669405	0.928	0.792	6.43918871111327e-169	0	PPP1R1A
FXYD6	7.79101506578975e-172	0.282343530746334	0.681	0.542	2.16114966909942e-167	0	FXYD6
PLK2	1.74499422389265e-171	0.282763014074579	0.727	0.574	4.84043947765582e-167	0	PLK2
NEUROD1	1.49480041083263e-170	0.310747993604826	0.827	0.704	4.14642685960862e-166	0	NEUROD1
PLIN3	5.41216771175345e-169	0.248627123235874	0.73	0.613	1.50128120156329e-164	0	PLIN3
BEX3	1.17141196311387e-166	0.336161634906466	0.966	0.879	3.24937964448157e-162	0	BEX3
CEP126	3.8479349263347e-163	0.205862650476216	0.598	0.485	1.06737866921598e-158	0	CEP126
RAB3C	1.29040207373341e-160	0.200497594947641	0.641	0.526	3.57944631232911e-156	0	RAB3C
APOH	3.62463291249295e-160	0.214173671866691	0.622	0.516	1.00543692359642e-155	0	APOH
C9orf16	1.04558127619456e-159	0.243827098223954	0.916	0.772	2.9003379020361e-155	0	C9orf16
ARX	2.44119662504547e-154	0.211486865380207	0.667	0.537	6.77163531821363e-150	0	ARX
LRATD1	2.54835500444223e-149	0.263874264838208	0.472	0.34	7.0688819468223e-145	0	LRATD1
HEPACAM2	3.51205275729051e-145	0.231737024626927	0.468	0.323	9.74208314344815e-141	0	HEPACAM2
TMSB4X	7.80763872461901e-143	0.291821889010476	0.99	0.949	2.16576090582207e-138	0	TMSB4X
ARL2	3.7492183222111e-141	0.238524802739053	0.895	0.799	1.03999567039814e-136	0	ARL2
HSD17B14	7.28057417038138e-139	0.241627562717649	0.674	0.543	2.01955846912209e-134	0	HSD17B14
NAA38	1.50145095586416e-136	0.229953761986143	0.849	0.719	4.16487480647159e-132	0	NAA38
H2AFJ	2.54260445732896e-135	0.23687250180801	0.96	0.901	7.05293050418479e-131	0	H2AFJ
DNPH1	1.02282473554656e-134	0.235883826108526	0.7	0.554	2.83721353393261e-130	0	DNPH1
CDKN2A	6.02068762887446e-132	0.228599127881687	0.334	0.229	1.67007854137349e-127	0	CDKN2A
MPC2	1.48143598261353e-131	0.215335883679024	0.936	0.866	4.10935527217167e-127	0	MPC2
CSTB	2.00166949181755e-128	0.216200607155966	0.958	0.891	5.55243100335271e-124	0	CSTB
SPTSSB	2.10163262534127e-128	0.204934794954918	0.447	0.337	5.82971873943416e-124	0	SPTSSB
SCGN	3.16156975677515e-124	0.308871890639061	0.967	0.903	8.76987834831858e-120	0	SCGN
PHPT1	4.60723683175572e-119	0.227345645640564	0.98	0.923	1.27800142476072e-114	0	PHPT1
RPS27L	7.28695136626599e-117	0.223434726484921	0.897	0.813	2.02132743948852e-112	0	RPS27L
NME4	1.44991153370854e-116	0.229772978065541	0.771	0.63	4.02190960335412e-112	0	NME4
GCG	8.78845613588532e-116	0.266917551249557	0.999	0.997	2.43782984753323e-111	0	GCG
