p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RBP4	0	1.27565639817711	0.779	0.625	0	0	RBP4
SCGN	0	0.88356508731348	0.996	0.965	0	0	SCGN
PPP1R1A	0	0.842819099687696	0.935	0.704	0	0	PPP1R1A
FXYD2	0	0.840707733622002	0.991	0.933	0	0	FXYD2
ASCL2	0	0.81180763843	0.6	0.221	0	0	ASCL2
SHISAL2B	0	0.806844347215344	0.827	0.649	0	0	SHISAL2B
MAFA	0	0.783484961322996	0.84	0.657	0	0	MAFA
MAFB	0	0.762991980495192	0.93	0.76	0	0	MAFB
HADH	0	0.734056272131923	0.989	0.916	0	0	HADH
TMED6	0	0.718418646658919	0.677	0.358	0	0	TMED6
DHRS2	0	0.715512840211717	0.86	0.642	0	0	DHRS2
TTR	0	0.648083460235346	0.977	0.933	0	0	TTR
ALDH1A1	0	0.6354088476685	0.907	0.781	0	0	ALDH1A1
CAMK2N1	0	0.631156364794084	0.903	0.796	0	0	CAMK2N1
C1QL1	0	0.572913452471183	0.881	0.767	0	0	C1QL1
TUBA4A	0	0.557598088000644	0.883	0.767	0	0	TUBA4A
ABCC8	0	0.556403303153524	0.963	0.837	0	0	ABCC8
PDX1	0	0.555891033177355	0.782	0.567	0	0	PDX1
SLC30A8	0	0.538419291193751	0.977	0.868	0	0	SLC30A8
CRYBA2	0	0.528746104098054	0.734	0.59	0	0	CRYBA2
METRN	0	0.502255410898848	0.953	0.874	0	0	METRN
ERO1B	0	0.497389348854326	0.977	0.917	0	0	ERO1B
LLGL2	0	0.494970615342376	0.674	0.439	0	0	LLGL2
NPTX2	0	0.491841248135877	0.923	0.826	0	0	NPTX2
PARVB	0	0.487605355314285	0.859	0.695	0	0	PARVB
COA3	0	0.48638385450409	0.864	0.686	0	0	COA3
PFN2	0	0.486085249790796	0.878	0.706	0	0	PFN2
G6PC2	0	0.466581319374961	0.867	0.694	0	0	G6PC2
FFAR4	0	0.465011688765219	0.46	0.238	0	0	FFAR4
C12orf75	0	0.45663712666388	0.939	0.804	0	0	C12orf75
DBI	0	0.452208025249022	0.986	0.917	0	0	DBI
PEBP1	0	0.443471968997272	0.998	0.984	0	0	PEBP1
GSTP1	0	0.43860141521995	0.725	0.628	0	0	GSTP1
PLCXD3	0	0.436037793933636	0.781	0.619	0	0	PLCXD3
PAX6	0	0.431902715957797	0.934	0.834	0	0	PAX6
SCGB2A1	0	0.431147427689574	0.837	0.734	0	0	SCGB2A1
MRLN	0	0.429431782602285	0.474	0.246	0	0	MRLN
PDLIM2	0	0.421345104144713	0.462	0.248	0	0	PDLIM2
GNAI2	0	0.414363293030684	0.844	0.726	0	0	GNAI2
AKR7A2	0	0.409355156128604	0.886	0.764	0	0	AKR7A2
TPM3	0	0.408371237221297	0.924	0.842	0	0	TPM3
KCNK16	0	0.400505670857647	0.763	0.587	0	0	KCNK16
BEX3	0	0.399063507067201	0.943	0.829	0	0	BEX3
MYL6	0	0.397789541190017	0.998	0.985	0	0	MYL6
SURF4	0	0.397601794094933	0.921	0.845	0	0	SURF4
TUBA1B	0	0.390216180974087	0.997	0.972	0	0	TUBA1B
SSTR2	0	0.390206891920641	0.583	0.396	0	0	SSTR2
C9orf16	0	0.390173310517107	0.895	0.753	0	0	C9orf16
HMGB1	0	0.381508030735181	0.985	0.928	0	0	HMGB1
GAMT	0	0.380984499199773	0.783	0.615	0	0	GAMT
C15orf48	0	0.379045022701793	0.656	0.482	0	0	C15orf48
PFKFB2	0	0.375017158173559	0.565	0.411	0	0	PFKFB2
NDUFS6	0	0.373939326408001	0.939	0.828	0	0	NDUFS6
SLC25A5	0	0.373091089944891	0.929	0.824	0	0	SLC25A5
STARD10	0	0.369853790820807	0.788	0.633	0	0	STARD10
ATP2A3	0	0.369720570785435	0.816	0.661	0	0	ATP2A3
CD81	0	0.369663681406318	0.932	0.894	0	0	CD81
CASR	0	0.368384665675966	0.699	0.526	0	0	CASR
ARL2	0	0.365125610103274	0.937	0.832	0	0	ARL2
QDPR	0	0.364622124511971	0.816	0.678	0	0	QDPR
PEPD	0	0.36423873427546	0.772	0.634	0	0	PEPD
UCHL1	0	0.363867995856625	0.978	0.926	0	0	UCHL1
PRDX3	0	0.361140256420398	0.881	0.758	0	0	PRDX3
PCBD1	0	0.359864621086776	0.901	0.776	0	0	PCBD1
H2AFJ	0	0.359325371293118	0.865	0.764	0	0	H2AFJ
HMGN2	0	0.358609866617329	0.961	0.866	0	0	HMGN2
RPL23	0	0.358277898807712	0.995	0.962	0	0	RPL23
UQCC2	0	0.355485498858879	0.844	0.688	0	0	UQCC2
GPX4	0	0.352864664505408	0.996	0.967	0	0	GPX4
EPHX1	0	0.349153340579604	0.647	0.524	0	0	EPHX1
MT-ATP6	0	0.348592432754518	0.999	0.997	0	0	MT-ATP6
APCDD1L-DT	0	0.348518300049855	0.514	0.375	0	0	APCDD1L-DT
PPIA	0	0.346052383690272	0.979	0.913	0	0	PPIA
PHPT1	0	0.345082948377757	0.983	0.931	0	0	PHPT1
GPD1	0	0.343925517368645	0.381	0.21	0	0	GPD1
PIN1	0	0.34213162413923	0.868	0.727	0	0	PIN1
HEPACAM2	0	0.340462462865881	0.548	0.376	0	0	HEPACAM2
NAA38	0	0.338443830947954	0.909	0.782	0	0	NAA38
BLOC1S1	0	0.336307696478714	0.909	0.781	0	0	BLOC1S1
