Islet	Donor_ID
Islet28	HP17117-01 T2D
Islet29	SAMN08768799
Islet30	HP1720901T2D
Islet31	HP17225-01T2D
Islet32	HP17300-01T2D
Islet33	SAMN08769026
Islet34	HP18054-01
Islet37	SAMN09370567
Islet38	HP18304
Islet39	SAMN10372788
Islet40	SAMN10439569
Islet41	HP18320-01T2D
Islet42	SAMN10737781
Islet44	SAMN10832912
Islet45	SAMN10873960
Islet47	HP19047-01
Islet48	HP19044-01T2D
Islet50	SAMN11008921
Islet52	SAMN11157311
Islet53	SAMN11373103
Islet54	SAMN11380903
Islet55	SAMN11476721
Islet56	SAMN11483342
Islet57	SAMN11523048
Islet58	SAMN11522709
Islet59	SAMN11633049
Islet60	SAMN11642375
Islet61	SAMN11864195
Islet62	SAMN11867362
Islet63	SAMN12022246
Islet68	SAMN12500521
Islet70	SAMN12633894
Islet71	SAMN12634037
Islet73	SAMN12673306
Islet80	SAMN13108021
Islet84	SAMN13320559
Islet85	SAMN13319813
Islet89	SAMN13866285
Islet91	SAMN13901790
Islet101	SAMN14255441
Islet104	HP-20152-01
Islet107	SAMN15337453
Islet118	SAMN16373925
Islet119	SAMN16365027
Islet123	SAMN16547514
Islet126	SAMN17209843
Islet127	SAMN17528599
Islet128	SAMN17831932
